Star Rating,Review Title Cleaned,Review Description Cleaned
5.0 out of 5 stars,one best earbuds mid premium rangemust buy,writing review after 10 days usage i recently bought master buds 2 my daily office work gym i am impressed their performance sound quality amazing noise app makes experience better more control over earbuds sound crisp clear tuned by bose which shows delivering rich audio experience makes listening music taking calls pleasure one standout features active noise cancellation anc which works exceptionally well block out ambient noise makes them perfect use busy environments or during travel allowing me focus completely what i’m listening design sleek comfortable fitting securely long hours wear without any discomfort overall master buds 2 offer great value their price excellent anc impressive sound qualitybattery 1010sound 910build quality 8510comfort 1010highly recommended office professionalsread more
5.0 out of 5 stars,best ever earbuds,super impressed these buds sound crisp solid bass anc actually makes noticeable difference noisy places they’re comfy long use battery easily lasts through day pairing quick call quality clear too overall great value price 👍read more
5.0 out of 5 stars,good product,i’ve been using these earbuds while now overall i’m quite impressed sound quality clear wellbalanced decent bass doesn’t overpower mids highs they work well both music calls i didn’t notice any major distortion even higher volumesthe fit comfortable secure making them suitable long listening sessions or workouts design sleek lightweight so they don’t feel bulky ears connectivity has been smooth so far quick pairing minimal dropoutsbattery life another strong point—they easily last through day regular use charging case adds extra convenience touch controls if applicable are responsive though they may take little time get used toon downside noise isolation could be better especially very loud environments also microphone quality decent but not exceptional calls noisy surroundingsoverall these earbuds offer good value price are solid choice everyday useread more
5.0 out of 5 stars,experience every penny used,what breath taking look design best classs model strong noise cancellation 51db separates us from outer world best used traffic flights or metro audio quality by bose gives clear balanced notes comfortable use dual device pairing profor userread more
5.0 out of 5 stars,long battery backup comfortable earbuds,these buds are super premium easy pair my phone laptop same time very comfortable inside ears i can use long time noise cancellation working perfectly sound quality top notch customisable tooread more
5.0 out of 5 stars,game changer premium audio,i’ve used lot tws earbuds over years most them fall into two buckets either they’re loud bassheavy but messy or they’re balanced but boring master buds 2 sit nicely middle that’s what makes them interestingthe first thing you notice sound tuning these are tuned sound by bose shows bass deep but controlled mids are clean highs don’t pierce your ears even after long listening sessionsother things i likedlhdc hires audio supportdual device pairingfast chargegood batterycomfortable fitpremium rather unique designif you’re looking earbuds under ₹10k focus sound quality anc call clarity rather than just bass marketing features these are definitely worth consideringread more
5.0 out of 5 stars,best cinematic audio best spatial audio,budgetfriendly pair twsfeatures like spatial audiogood battery life affordable price∆ compact stylish case smooth finish they fit comfortably ears can be used long listening sessions without much discomfortsound qualitythe sound bassheavy punchy which good music lovers vocals mids are clearbattery lifethe earbuds provide long battery backup can easily last full dayread more
4.0 out of 5 stars,good product,great value money sound quality clear good bass design sleek they’re comfortable wear battery life solid connectivity stable call quality decent though slightly affected noisy areas overall reliable stylish pair earbuds everyday useread more
5.0 out of 5 stars,absolutely blown away by boat airdopes 300 my new audio holy grail gunmetal black,absolutely blown away by boat airdopes 300 my new audio holy grail gunmetal blackrating ⭐⭐⭐⭐⭐ 55okay i need rave about these after seeing hype 5k bought last month stat i grabbed boat airdopes 300 gunmetal black honestly theyve exceeded every expectation if youre looking premium features without insane price tag stop scrolling – these are itheres why im obsessed1 cinematic spatial audio real isnt just marketing fluff watching movies or bingewatching shows whole new experience sound genuinely feels like coming from around you – immersive deep incredibly engaging music benefits massively too feeling richer more layered than any earbuds ive owned before2 battery life defies logic 50 hours absolute gamechanger earbuds themselves last ages around 10 hours single charge me but charging case just keeps going i charged case fully over week ago used buds daily hours commutes workouts calls i still havent seen low battery warning liberating not constantly worry about charging massive win3 crystal clear calls 4mic ai enx taking calls these dream ive tested them busy streets windy balconies even slightly noisy cafe – person other end consistently says i sound clear focused ai noise cancellation mics really works wonders no more can you repeat frustrations4 fast charge lifesaver forgot charge 10 minutes case genuinely gives you hours around 225 my experience playback super convenient when youre rushing out5 boat app awesome customization app simple but powerful i love tweaking eq presets bass boost workouts podcast mode clarity customizing touch controls finding earbuds via app also handy feature6 rocksolid connection low latency bluetooth 53 flawless pairing instant connection stays strong even when my phone another room gaming watching videos seamless – absolutely zero noticeable lag or audiovideo sync issues7 comfort build gunmetal black looks feels super premium they fit snugly comfortably my ears even during longer sessions or workouts ipx4 rating gives me peace mind against sweat light rain8 great sound signature bass punchy satisfying without being overwhelming mids are clear vocals highs are crisp perfectly tuned everything from edm podcastsminor nitpick because nothings perfectthe touch controls are sensitive great but theres slight learning curve avoid accidental pausesskips when adjusting them you get used quickly thoughverdictthe boat airdopes 300 deliver phenomenal value you get flagshiplevel features – incredible 50h battery life truly immersive spatial audio excellent call quality ai enx fast charging app support low latency sleek design – all very reasonable price point hype real 5k purchases last month make total senseif youre looking reliable featurepacked greatsounding tws earbuds wont die you halfway through day look no further airdopes 300 gunmetal black are easy 5star recommendation boat has absolutely knocked out park these highly impressedread more
4.0 out of 5 stars,🔥after 1 yr still op but not compact,product just okfine qualityit one best tws under 15kmind it🤔sound just fine compared under 15k segmentsnormal delivered sound good cinematic sound reality feels 3d effect😊build quality design design impressive casesize isnt very compact case little fatty shape looks not very good when put pants pocket buds size also little large compared oth brand like realme 1 while putting ear looks very large thats not comfortable all realme 1 buds are so compact size ear case are also very compactso boat airdopes 300 not compact size from any angle😓👎🏻build quality averagehinge not loose all opening closing experience effortlessly🙂connectivity bt 53 boat fast pairbasically google fast pair works so smoothlybattery back also good instantly pair up device call quality ai enx so impressive😉super tech features dual device connection ear detectionapp supportasap fast charging works properly beast mode 4 gaming good 4 casual gamersthese features are now so useful us u can miss features other under 15 k tws😃conclusion very much value 4 money product app optimization could be better compared othersfull crazy features avail so usefulfitting isnt all loose me but looks quite large ears pls note led indicator airdopes not all reason dissatisfaction because while playing music or any other content doesnt blink or glows only glows or blink while nothing playing but connected device😎 airdopes 300 nothing but updated version boat eardopes supreme supreme had bt52 has 53 no more difference i can definitely say better than realme t110 only battery life features sound qualitybut t110 much compact comfortable size ☺️under 15k if u can grave then best deal ujust go it😇edit after using continuous 1 yr use 1 battery life still good gives me 253 days playbackwith buds case both i use 56 hrs daily moderate sound level2case buds are super fine build quality i felled countless times from height no issue no damage till now hinge also very good3 despite little larger size after extensive use i used it4 no internal or external problem i face till buds still works new productone thing i love if i put my buds case which are already connected deviceits automatically disconnectedso no battery drain doesnt matter if i forgot turn off bt my phone👌🏻 i think value moneyread more
3.0 out of 5 stars,suggest purchase,awesome prodcut fits good material too good battery lasts 2 daysread more
5.0 out of 5 stars,deep bass immersive sound experience – just wow,outstanding sound quality battery life ⭐⭐⭐⭐⭐ami boat airdopes 300 ti kichudin dhore bebohar korchhi ebong ami sottii impress er spatial audio featureti darun cinema dekhar shomoy ekta theatre feel hoy bass khubi punchy ebong clearprosbattery ekbar chargee pray 50 ghontar backup pawa jay ja asadharoncalling er quadmic enx technology callinger shomoy baire noise khub bhalo bhabe kora komaygaming 65ms low latency thakay gaminger shomoy kono lag hoy nadesign multipoint connection thakay laptop ar phone eksathe connect kora jayverdict ei budgete er cheye bhalo earbuds pawa kothin jara bassheavy music ar long battery backup khujchhen tara oboshshoi nite parenread more
4.0 out of 5 stars,anc,good working anc audio quality excellent very good bass totally good quality price rangeread more
3.0 out of 5 stars,average product,good product but battery life average means 1 dayread more
5.0 out of 5 stars,best budget segment,posting review after 2 weeks usage works perfectly fine both official calls laptop listening music phone anc awesome bass sound clarity good worth budget battery capacity great comfort fittingread more
5.0 out of 5 stars,great sound,great sound punchy bass clear vocals comfortable fit solid battery life quick connectivity feels premium price—definitely worth itread more
5.0 out of 5 stars,worth,excellent earbuds from my side⭐⭐⭐⭐⭐the sound quality very clearthe bass goodanc also good even when anc off you can hardly hear outside noise while listening songcomfort ear also goodthe battery life really good i received product morning 29th march 70 charge i charged buds about 10–15 minutes reach 100 now today 1st april charge case still 80my 3799 worth oneplus nord buds 4 prothank you oneplusread more
4.0 out of 5 stars,blindly go if your budget under 3999₹,oneplus nord buds 4 pro budget beast punches way above weight 🔥 45 stars ive been using these buds from past 4 days now wow—theyve totally blown me away under ₹3999 segment first off battery life straightup excellenta single charge buds delivers solid 6 hours playback even anc case charges from 0100 just 60 minutes—perfect my onthego lifestyle hyderabads hustle no more midday topupsthey truly shine once you install heymelody app—thats secret sauce unlocks their maximum potential eq tweaks custom controls moresoundwise bass punchy immersive without muddiness making my workouts commutes epicanc surprisingly good price blocking out traffic noise like champ transparency mode what i call partial mode lets conversations flow naturally—gamechanger callstook up notch bgmi game mode partial sound mode impressive af low latency crystalclear audio cues—no lag no distractions feels prolevel gaming without breaking bankbuild feels premium fit secure ip55 sweat resistance legit gym sessions pairing instant if youre hunting valuepacked buds these are it—dont sleep themprosepic 6hr bud battery 60min full case chargeheymelody app unlocks beast modesolid anc thumping basstransparencypartial mode magicgame mode crushes bgmiminor con app essential full features but free easyhighly recommend—grab now before prices jump 💯cons need take few breaks while using them longer period usage can cause sharp strike your ears common afterall comes white matt finish which really good but even matt cannot hide dirt marks specially oilly matt cannot hide oil or sweat marks which dsnt look good allread more
1.0 out of 5 stars,average,build average qualitybattery backup goodconnectivity goodsound averageear comfortable fittingprice very costlyread more
5.0 out of 5 stars,thumping buds,one best buds out there right nowfrom sound quality fit all top notchpros looks fit awesome feather light budssound quality just too good one best infact thumping baas clear mids lows you dont need those dual driver buds anymore tuning really goodi am using both s24 ultra find x8 both buds performing like beastcons case slippery must use cover but right now no covers available thereupdateafter full day use different music genre i am really surprised instruments differentiation spatial 3d audio effects thumping bass effects more accurate samsung s24 ultra than oppo find x8read more
5.0 out of 5 stars,best price segment,audio quality great ans works really goodread more
5.0 out of 5 stars,good earbuds,good fitting comfort best performance audio connectivity also goodread more
5.0 out of 5 stars,excellent product,i dont usually write reviews but product has forced me i bought august2023 around rs 2300 i dont usually spend more than 1k earbuds but i looking good battery backup time came accross boat nirvana ion seriously my best buy till date earbuds i use daily using till now almost 3yrs battery backup still excellent sound also goodread more
4.0 out of 5 stars,excellent product,good sound quality value moneyread more
5.0 out of 5 stars,bought battery backup but got more,let me start elephant room claim 24 hours battery back up from buds alone i received tws around 645 evening took about couple minutes check box contents make sure tws perfect condition paired them my phone only find out earbuds had 100 charge so i started using them i initiated my testing 7 pm jurassic park 1993 about 80 volume 2 hours later buds had 93 charge left i said challenge accepted then watched sequel lost world 1997 another 2 hours some odd minutes later time 1110 pm left bud showed 86 battery right 85 point i could see myself losing battle but i didnt wanna give up i thought myself maybe if i tried harder id win but time always wasnt my side 1120 pm silence night could be heard loudly fatigue day catching up me when suddenly idea popped into my head i rushed over youtube searched 10 hour heavy metal music video hit play button increased earbuds volume 100 then put both my phone buds bedside table grinning myself thinking yeah survive called night morning came my vision cleared up show 720 am clock i reached out my phone assuredly confidently convinced i had won wari didnt right bud 41 left 45 juncture i gladly accepted my defeat decided write story story brave tws story will never be any history books story where eternal tws won against sadistic owneras rest i will keep briefinear detection works very well no complaintssound quality signature mode too bassy not me sure balance mode does job does wellcall quality best tested against boat rockers 255 neo boult audio x50 dizo gopods neo realme t100build quality buds good case lid when closed has slight wobble everything else upto markone final remark would be inear fitting thus noise isolation i find these buds provide noise isolation good dizo gopods neo 25db anc mode almost feels like they were custom made my ears but do keep mind can will differ from person personthank you your time i hope i didnt waste itread more
1.0 out of 5 stars,ultimate disappointment scathing review worst earbuds i’ve ever used,media could not be loadedlet me preface review by saying i’ve tested countless earbuds over years ranging from budgetfriendly options premium audiophile gear never my life have i encountered product fundamentally flawed poorly designed outright infuriating these earbuds if you’re considering purchasing these gaming purposes casual listening or even backup pair—stop save your money your sanity your ears from abysmal mic functionality laughable sound quality build quality feels like engineered by someone who’s never held pair earbuds before product masterclass failure let’s break down why these earbuds are insult very concept functionality clarity performance1 mic functionality joke gaming purposeslet’s start mic functionality feature that’s absolutely critical gaming purposes or even casual zoom calls if you’re buying earbuds communicate teammates stream or participate online meetings prepare be humiliated microphone picks up every conceivable noise except your voice background chatter faint hum your refrigerator even your dog barking three rooms away—all crystal clear but your actual voice muffled distorted buried under layer static makes you sound like you’re speaking through tin can underwaterduring critical raid my favorite mmo my teammates repeatedly asked “are you chewing gravel why does your mic sound like broken walkietalkie” when i switched these earbuds’ mic functionality response unanimous “never use these again” gaming purposes where clear communication nonnegotiable mic liability even after tweaking settings updating drivers screaming into microphone like madman clarity never improved it’s almost impressive how company could engineer microphone bad2 gaming purpose more like “game over”speaking gaming purposes these earbuds fail every front latency so severe actions ingame—like gunfire or footsteps—are delayed by full second making competitive play impossible imagine hearing enemy’s shotgun blast after you’ve already been respawned lack clarity spatial audio means you can’t distinguish between sounds coming from your left or right death sentence shooters or horror gamesbut real kicker performance these earbuds under load laughable after just 30 minutes use they overheat point discomfort audio begins crackle like campfire product marketed toward gaming purposes complete disregard basic functionality staggering3 functionality textbook example “how not design earbuds”the functionality these earbuds so counterintuitive feels like prank touch controls are hypersensitive yet unresponsive—a paradox defies logic adjusting volume prepare 5050 chance either muting audio entirely or triggering your voice assistant companion app which promises “enhance your experience” glitchy mess crashes more often than toddler’s toy careven basic functionality like pairing earbuds device nightmare they disconnect randomly refuse reconnect unless reset occasionally pair wrong device altogether yes my smart fridge now has audio privileges product claims prioritize performance sheer lack reliability inexcusable4 clarity more like “muddy mess”if you value clarity your audio experience steer clear sound profile so unbalanced it’s comical bass overblown point distortion mids are nonexistent highs are shrill enough shatter glass listening music feels like being trapped nightclub blownout speakers—except even nightclubs have better sound qualityfor podcasts or audiobooks lack clarity turns every narrator into garbled mess voices blend into background noise subtle details are drowned out by earbuds’ own hissing even maximum volume dialogue feels distant if speaker standing another room sound quality isn’t just bad—it’s offensive5 performance race bottomthe performance these earbuds slap face anyone who’s ever used functional pair battery life advertised “up 8 hours” barely lasts two hours 50 volume charging them case takes longer power up than medieval siege engine even earbuds functionality during calls disaster every conversation becomes game “guess what i said” other person constantly asking you repeat yourselfunder stress—like multitasking between apps or running background downloads—the performance nosedives further audio stutters mic cuts out earbuds emit highpitched whine could double dog whistle product claims prioritize performance it’s clear no one tested these under realworld conditions6 earbuds functionality comedy errorsthe earbuds functionality extends beyond poor sound controls ergonomic design joke they don’t fit securely any ear shape requiring constant adjustments miduse during jog one earbud flew out nearly became roadkill “sweatresistant” coating myth after one gym session left earbud shorted out emitting smell akin burnt plasticeven simple tasks like skipping track or answering call require herculean effort touchsensitive areas are tiny poorly mapped leading accidental hangsups or unintended playlist shuffles earbuds functionality that’s supposed simplify your life these add nothing but frustration7 sound quality assault sensesthe sound quality where these earbuds truly cement their status worst market audio flat tinny devoid depth—like listening music through cardboard tube genres rely nuance like classical or jazz are rendered unrecognizable rock pop tracks lose their energy guitars sounding like kazoos vocals like autotuned robotseven nonaudiophiles sound quality unbearable watching movies dialogue drowned out by inconsistent volume levels action scenes lack punch lack clarity dynamic range makes every audio experience feel like punishment8 build quality cheap flimsy downright dangerousthe build quality testament cornercutting plastic feels like salvaged from dollarstore toy seams creak under minimal pressure charging case’s lid wobbles like loose tooth earbuds themselves are so fragile i’m afraid breathe them too hardwithin week right earbud’s mesh grill fell off exposing speaker dust debris charging pins corroded after minimal use case’s hinge now emits death rattle every time it’s opened product costs more than meal two build quality unforgivableconclusion perfect storm failurein summary these earbuds fail every metric mic functionality gaming purposes functionality clarity performance earbuds functionality sound quality build quality they’re poorly designed shoddily constructed utterly unfit any use case sound quality grating mic functionality joke build quality safety hazardif you value your time money sanity avoid these earbuds all costs gaming purposes communication or even passive listening there are countless better options—including earbuds half price these aren’t just bad they’re insult very idea technologyfinal verdict 010 only thing these earbuds excel making you regret your purchaseread more
5.0 out of 5 stars,best quality,best sound battery liferead more
5.0 out of 5 stars,review after 2 years hardcore usage,been using 2 years price 1800 back then really good now after hardcore use 2 years dropping down billion times come two piece like semi broken but i can just put back together if you plan using super hardcore everyday 2 years then go if you are more careful than i am then itll last longer sure nice volume sound aswell apart form i now having some issues compatibility idk if my phone or new software update really durable good personally great note i listen musicuse gamingin calls so i use every single day 68 hours very leastread more
5.0 out of 5 stars,best earbuds,these earbuds are really nice design they are having good quality sound welcome led they connect instantly device when case opened works when your bluetooth you have connected airbass earbuds aka mustang torq recently also features app ned gobloult amp via which i can make changes my preferences mic 🎤 quality also good i am being impressed by device i am thinking about ordering one moreread more
5.0 out of 5 stars,features,i recently used boult x mustang dyno earbuds overall they are good option budget segmentthe design one best things about these earbuds mustanginspired look feels premium stylish compared other earbuds price range they are also comfortable wear long hoursin terms performance battery life excellent offers up around 60 hours total playback case which very useful daily use like online classes music fast charging also helpful when you are hurrythe sound quality decent but not perfect bass strong loud which good songs casual listening but vocals clarity could be better normal users fine but music lovers may not be fully satisfiedfor gaming performs well because low latency mode so there less delay between sound visuals calling quality average works fine quiet places but struggles bit noisy environmentsone drawback does not have active noise cancellation only environmental noise cancellation calls also some users have reported connectivity or quality issues so durability can be concern✅ prosstylish mustang designvery long battery lifegood gaming low latencyaffordable price❌ consaverage sound clarityno active noise cancellationbuild quality could be better⭐ final verdictoverall boult mustang dyno good budget earbud daily use gaming casual music offers great battery life design but compromises sound quality premium featuresrating 9510read more
4.0 out of 5 stars,title good sound design,title good sound design but some issuesi recently bought boult x mustang torq earbuds design looks very stylish premium sound quality good strong bass bluetooth connection fast stable works well music watching videoshowever i noticed mic clarity during calls bit low not very clear also my package did not include charging cable which disappointing i had use another typec cable charge caseoverall earbuds are good music design but mic quality missing cable should be improvedread more
3.0 out of 5 stars,comprehensive review mustang dynos,been using these about year mic quality these bad so dont buy if you’re looking clear voice comes across muddled sound quality good bass great price clarity good app does job good enoughhowever one complaint i do have one earphones audio has noticeably dropped battery life has reduced aswell around 15 minutes they’ve touted dual connectivity however often takes time switch or switches from stereo mono audio some reason very annoyingbattery life okay around 56 battery life can be extracted from thesecharge time around 45mins one hoursubjectivethe fit finish product below average mesh earphone glued prone detaching earphone fits fine my right ear however prone slipping out or falling from left ear however likely due my own anatomyoverall decent product bad mic do not expect last more then one year good sound quality clarity initially but drops off ages struggles dual connectivityit worth 14k price tag thoughread more
5.0 out of 5 stars,very good product,these buds are really good casual use are very visually appealing battery life feels good enough can last about 3 days week touch controls are easy learn are very convenient case earbuds bit large compared other buds but also plays huge part making mustangs hood asthetic case tries make stickers comes are also very good good product ford mustang lovers tooread more
5.0 out of 5 stars,earbuds,amazing earbuds price design looks super premium unique sound quality excellent powerful bass battery life impressive lasting many hours single charge great music gaming daily use overall perfect budgetfriendly choice style performanceread more
5.0 out of 5 stars,quality music,truke mega 10 true wireless earbuds offer impressive combination sound quality battery life premium design 24bit lossless spatial audio 13mm drivers delivers rich bass clear immersive sound making music videos enjoyable massive 70hour battery life fast charging extremely convenient daily use while 40ms lowlatency mode works well gaming streaming without noticeable delay dual pairing allows smooth switching between devices enc ensures clear call quality even noisy environments matte jet black finish looks stylish feels premium making these earbuds great valueformoney choice everyday users music lovers gamersread more
4.0 out of 5 stars,design sound quality,good quality productread more
5.0 out of 5 stars,excellent allaround earbuds – great music calls workouts,i’ve been using these earbuds they’ve quickly become one my favorite tech purchases sound quality topnotch punchy bass clear highs—perfect all kinds music even video streamingone best features active noise cancellation blocks out background noise really well whether i’m working busy café or walking outside transparency mode also super helpful when i need stay aware my surroundingsthey’re also great workouts fit secure comfortable even during long runs or gym sessions plus they’re sweatresistant which must anyone using them while exercisingthe microphone quality excellent too—people other end calls say i sound crystal clear even when i’m outside or movebattery life solid pairing instant case compact convenient overall fantastic pair earbuds premium features great price highly recommendread more
1.0 out of 5 stars,company can improve product,product good but i can not use more 1 howar because if i use more then 1 howar so my ears start paningread more
3.0 out of 5 stars,average then previous models,not better than previous earbuds good balance sound but expensive than previous earbudsand i got problem after 10 day when i connect call sounds comes very low my mobileread more
5.0 out of 5 stars,classic earbuds by truke,product offers excellent functionality works smoothly all my devicesit pairs quickly my phone laptopnoise cancellation works well blocks out most background noise connectivity strong stable no interruptions during calls or musiccharging ability super fast battery backup truly impressive sound clarity top notch deep bass clear vocals car start stop sound feels awesomecomfort level amazing even after long hours userecommended all totally worth itread more
5.0 out of 5 stars,overall good product,im loving truke mega 10 sound quality topnotch deep bass clear vocals calling also great battery life impressive – lasts me full day single charge fit comfortable dual connection feature works well premium matte finish looks sleek touch controls are super responsive great value moneyread more
2.0 out of 5 stars,promising but problematic returning due flaws,these earbuds have some strong positives great sound good dual connectivity fair price however they are let down by critical issuesthe microphone system defective—the left one doesnt work my voice too quiet callers touch controls are also far too sensitive causing me accidentally disconnect calls over ten timeswhen i tried get replacement service unresponsive after 5 days no update i decided just return them refund disappointing experience overall due products flaws poor supportread more
5.0 out of 5 stars,truke mega 9 definitely great option,i have been using truke mega 9 while now i genuinely liked overall experience sound quality feels quite premium price range clear audio very impressive bass stands out while listening musicthe battery backup another strong point easily lasts long enough daily use without frequent charging design both case earbuds simple yet attractive they are very pocketfriendly despite minimal design they give nice premium slightly luxurious feelthe calling quality good works well regular use although there still some room improvement however considering price performs quite welloverall if you are looking stylish budgetfriendly earbuds strong bass good battery life premium feel truke mega 9 definitely great optionread more
4.0 out of 5 stars,good quality product i like,i bought truke mega 9 blue honestly it’s great deal price sound clear bass feels good watching movies or listening music enjoyable call quality also nice people can hear me clearlythe battery backup amazing i barely have charge case because lasts long time earbuds connect quickly every time i open case switching between phone laptop smooththe build light comfortable wear long periodsa really solid choice everyday use if you want good sound long battery life low price one worth buyingread more
5.0 out of 5 stars,good sound battery backup,i recently bought truke mega 9 earbuds overall i am satisfied product sound quality good clear voice decent bass because 13mm speakers battery backup very impressive lasts many hours so charging not needed frequently leather finish case also looks nice premium call quality good enc mics latency low while watching videos overall good product value money price rangeread more
1.0 out of 5 stars,bad product,you saidwriting review after using almost 5 months sound quality okay not great bad quality hardware 5 months 2 times given service center bangalore there few service center so dropping collecting item 2 times more costly than earbuds if earbuds idle mode means connected but no song playing then automatically goes shutdown earbuds after shutdown cant restart by touch option restart your have put those earbuds charging box then only earbuds will startnever ever buy truke productsrewrite good englishchatgpt saidhere’s polished clear version your review good english keeping same meaning strong tonewriting review after using product almost five monthsthe sound quality average not impressivethe hardware quality poorwithin five months i had visit service center twicein bangalore there are very few service centers so traveling twice drop off collect earbuds cost me more than earbuds themselveswhen earbuds are connected but idle no music playing they automatically shut down after shutting down they cannot be restarted using touch controls turn them back you must place them charging casei strongly recommend never buying truke productsread more
5.0 out of 5 stars,great sound battery life,they sound really clear good bass plus battery easily lasts days i especially love forest green colour premium leather finish looks stylish unique overall great value price smooth connectivity solid performanceread more
5.0 out of 5 stars,quality,impressive sound quality truke mega 9 earbuds deliver 24bit lossless spatial audio 70h battery life fast charging leather finish ultralow latency make them perfect gaming music 4mic enc ensures clear calls value moneyread more
3.0 out of 5 stars,sound clarity,good quality i expectedread more
4.0 out of 5 stars,performance par good dual pairing but,1st day performance good earphones lasted 5 hours dual pairing performed multiple tasks those 5 hours music calls watching videos havent tested gaming yet because ill get time gaming march size weight perfect fit small purses or add last moment overfilled laptop bag2nd day also gave good performance night i charged box about hour or so next day i noticed one side pictured wrinkly i thought glue checked my bag but wasnt i realised might be because charging because i tried removing but started feel skeleton box 😢 ruins look feel but im more practical than anything elseim keeping coz useful mic wonderful sound quality also good connectivity has me impressed too price rangei will update my review if performance fluctuatesupdatepersonally huge drawback once shuts off without case nearby has no such control switch back previous boult ear buds i using until now had function where you press ear buds 5 seconds switches very convenient useful featureupdate after 3 monthssound quality averagebattery extremely average welland doesnt stay put earsa 3star product which i would gladly buy if battery design could be improved exchange bit higher priceread more
5.0 out of 5 stars,nice performance,immersive sound 24bit spatial audio 13mm drivers premium leathertextured design looks stylish 70h playtime fast charging super convenient low latency mode great gaming clear calls enc microphones great value money budgetfriendlyread more
5.0 out of 5 stars,stylish earbuds,nice ear pods stylish looking good great colour sound quality very good fast charging mic quality good value money touch controlread more
5.0 out of 5 stars,great daily use,i loved sound quality newly launched true wireless earbuds best part clarity music calls has spatial audio enhance music experience premium leather design long battery life lasts daysread more
5.0 out of 5 stars,stylish design beastly battery,truke mega 12 total steal leathertextured finish looks premium 70h playtime incredible—i almost forget charge them sound crisp solid bass thanks 13mm drivers spatial audio adds nice immersive touch great value daily use gamingread more
1.0 out of 5 stars,waste money,bad product battery backup worst touch control not worth waste money not suggest tis product mic worst noise cancellation not workingread more
5.0 out of 5 stars,awesome,these wireless earbuds be good quality amazing sound excellent noise cancellation they are comfortable sitting well over ears feature longlasting battery backup quick charging capabilities bluetooth connectivity receives mixed reviews while some find very good others report connectivity issuesread more
5.0 out of 5 stars,excellent sound quality 👍,earbuds offer excellent sound deep bass very clear vocals battery life also very good bluetooth connectivity excellent softtouch finish feels like leather fish skin price point these earbuds deliver excellent musical experienceread more
5.0 out of 5 stars,super clean good battery,super clean sound good battery life built quality actually feels premium literary people other side are able hear us clearly so mics are good tooread more
5.0 out of 5 stars,sarround sound best experience,very nice product budget price surround sound greatread more
4.0 out of 5 stars,earbuds really good,i am using 3 months but really doesnt disappoint me infact product quite handy useful sound quality also good battery also better i think can last 56 hoursthe only problem i faced i cant really control voice i speak google or ai i think good talking callsread more
5.0 out of 5 stars,bluetooth,very good sound mic battery are good product so goodread more
4.0 out of 5 stars,high volume,product good quality also good price range overall good but bass too high something hides vocals full or more than half volume sound comes outside such music playing mobile speaker low volume dont use these more than 60 volume otherwise can lead hearing long timeread more
5.0 out of 5 stars,must try earpods,best product music lovers sound just wow worth money noise cancellation superb👌👌 totally liked product 🫶read more
3.0 out of 5 stars,design built quality best but voice clarity bass not much good,im giving 3stars because1 built quality good2design very good3battery life also good4 range pods are best part5connectivity pretty fastthe reason not giving remaining 2 stars js1 i didnt like voice clarity pods no clarity while listening songs 2and bass not pretty good price range3the length pords are pretty bigthe major issue i have faced company right side pod high volume left side pod volume low while listening songs music high voice low some songs voice high music low there no stability herei highly recommend take time go high priced pods clarity bass purposeread more
5.0 out of 5 stars,impressive performance budget,i’ve been using these earbuds while now i’m honestly impressed sound quality clear good bass making music calls really enjoyable battery life solid easily lasts through my daily use without frequent charging price they offer great performance feel like true valueformoney product definitely good buy if you want reliable goodsounding earbuds without spending too muchread more
4.0 out of 5 stars,good product,good sound qualityread more
5.0 out of 5 stars,great sound quality comfortable fit value money,⭐ rating 910i bought hammer airflow new earbuds i am very satisfied performancesound quality clear good bass price range calling quality also goodthe earbuds are lightweight comfortable wear long timebattery backup impressive easily lasts full daybluetooth connects fast works smoothly without major lagoverall value money producthighly recommended daily use 👍read more
4.0 out of 5 stars,definitely worth price point,media could not be loadedive been using tws since many years almost ive tried all brands from cheap most expensivei bought tws 500rs temporary basis because i out station forgot minei honestly surprised by quality comfort hammer twsbattery backup top notch 80h true i recommend multimedia only not made calls doesnt have any enc or anc indoor calling fineconnectivity not bad range approx 6 meterssize compact fit good calls clarity good tooread more
5.0 out of 5 stars,worth buying good quality,sound quality very good clear voice battery backup excellent gaming mode works well low latency overall value money productread more
3.0 out of 5 stars,you are expecting high than actual product,earbuds okay sound good but not very topnoch good product range but base are little bit low quality light weightread more
1.0 out of 5 stars,dont buy verry disappointed 😞 pairing volume hurt ear,i am using hammer airflow neo earbuds 15 month there two major issue when earbuds connect voice prompt “connected hammer” plays very loud volume around half volume or more big problem repeating disconnect 8 9 time 1 hourthis sudden loud sound uncomfortable hurts ears especially when earbuds are already earsplease consider reducing volume connection voice prompt or provide option control future update otherwise product works wellread more
4.0 out of 5 stars,why why not,why buyprice rangegood music sound 5060 volumeclaimed playtime 80h 13mm titanium driver 40ms gaming mode fast charging budswhy not buyvolume full throws sound out earbuds very loudpre record sound connecting disconnecting very bad work especially hammerlittle uncomfortable my ear pain causing roughly 12 hours if used constantlymy opinionvoice 50 avoid connecting voice check if they fit perfectly you can take these4 star provide so much budget need some upgradeslooking forward improvement hammerread more
5.0 out of 5 stars,amazing product,value money product audio quality tws device exceptional touch controls operate seamlessly battery life remarkably impressive i particularly appreciate premium aesthetic design i highly recommend product worthwhile investment price rangeread more
5.0 out of 5 stars,value money 👍,quality good volume nice comfortable wear long timeread more
